filename,cmp1_tR_min,cmp1_area_mV_min,cmp2_tR_min,cmp2_area_mV_min,cmp3_tR_min,cmp3_area_mV_min,cmp4_tR_min,cmp4_area_mV_min,cmp5_tR_min,cmp5_area_mV_min,cmp6_tR_min,cmp6_area_mV_min,cmp7_tR_min,cmp7_area_mV_min,cmp8_tR_min,cmp8_area_mV_min,cmp9_tR_min,cmp9_area_mV_min,cmp10_tR_min,cmp10_area_mV_min,cmp11_tR_min,cmp11_area_mV_min,cmp12_tR_min,cmp12_area_mV_min,cmp13_tR_min,cmp13_area_mV_min,cmp14_tR_min,cmp14_area_mV_min,cmp15_tR_min,cmp15_area_mV_min,cmp16_tR_min,cmp16_area_mV_min
C1_1.gcd,4.8949,9776.8765,,,,,,,,,,,7.2743,30.1202,,,8.9710,12461.6005,,,,,,,,,,,,,13.3479,1637.8085
C1_10.gcd,4.8955,9148.7603,,,,,,,,,,,,,,,8.9117,6731.4189,,,,,,,,,,,,,13.3732,8705.7311
C1_11.gcd,4.9522,15142.9221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4459,58.2417
C1_12.gcd,4.9695,16704.3917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4452,60.7174
C1_13.gcd,4.9209,11454.3417,,,,,,,,,,,,,,,8.8390,2659.9288,,,,,,,,,,,,,13.3705,8273.0972
C1_14.gcd,4.9182,11304.3011,,,,,,,,,,,,,,,8.8417,2728.2071,,,,,,,,,,,,,13.3732,8692.6298
C1_15.gcd,4.9635,16057.5264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4385,68.1600
C1_16.gcd,4.8133,97.5327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1_2.gcd,4.9569,15474.1828,,,,,,,,,,,,,,,8.9844,13491.0316,,,,,,,,,,,,,13.3499,1721.1674
C1_3.gcd,4.9615,15601.6612,,,,,,,,,,,,,,,9.0657,23.4535,,,,,,,,,,,,,13.5545,15.1126
C1_4.gcd,4.9555,14695.4113,,,,,,,,,,,,,,,9.0810,23.3242,,,,,,,,,,,,,13.5579,15.3361
C1_5.gcd,4.9242,11767.4671,,,,,,,,,,,,,,,8.9077,6561.8199,,,,,,,,,,,,,13.3619,4480.5183
C1_6.gcd,4.9109,10655.7402,,,,,,,,,,,,,,,8.9183,7417.1676,,,,,,,,,,,,,13.3645,5124.0531
C1_7.gcd,4.9615,16126.7026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4825,38.1854
C1_8.gcd,4.9535,14602.4669,,,,,,,,,,,,,,,9.1397,17.2113,,,,,,,,,,,,,13.4612,51.5493
C1_9.gcd,4.8909,8926.5750,,,,,,,,,,,,,,,8.9137,6910.7347,,,,,,,,,,,,,13.3719,8960.9871
D4_13_011.gcd,4.9189,12390.0929,5.1222,2.8387,,,,,,,,,,,,,,,,,,,10.5204,3181.8222,,,,,,,13.3532,7877.4698
D4_14_012.gcd,4.9262,13058.1638,,,,,,,,,,,,,,,,,,,,,10.5204,3197.5934,,,,,,,13.3519,7913.9185
D4_15_013.gcd,4.9702,18102.9637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4372,69.7997
D4_16_014.gcd,4.9655,17175.3709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4532,59.3732
D5_17_015.gcd,4.9242,12914.0880,,,5.2315,12.1457,,,,,,,,,,,,,,,,,10.4544,1037.4021,,,,,,,13.3519,10258.7700
D5_18_016.gcd,4.9189,12260.4259,,,5.2249,13.1165,,,,,,,,,,,,,,,,,10.4551,1052.5452,,,,,,,13.3559,10466.4206
D5_19_017.gcd,4.9615,16774.9014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4279,80.0831
D5_20_018.gcd,4.9455,14888.6440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4139,95.8881
E1_1_001.gcd,4.9502,15278.7118,,,,,5.8276,7952.5097,6.0616,48.3194,,,,,,,,,,,,,10.4331,3.5723,,,,,,,13.3399,1406.1401
E1_2_002.gcd,4.9409,14602.8518,,,,,5.8109,8526.2620,6.0456,49.0017,,,,,,,,,,,,,10.4331,3.8494,,,,,,,13.3412,1523.8359
E1_3_003.gcd,4.9755,17802.2850,,,,,5.7016,8.9184,,,,,,,,,,,,,,,,,,,,,,,13.5919,13.3331
E1_4_004.gcd,4.9655,16311.1935,,,,,5.6869,64.3186,,,,,,,,,,,,,,,,,,,,,,,13.5719,17.0371
E2_5_005.gcd,4.9435,14523.8550,,,,,5.7982,5760.1450,6.0856,58.7310,,,,,,,,,,,,,10.4331,2.1901,,,,,,,13.3525,4103.2537
E2_6_006.gcd,4.9362,13593.5902,,,,,5.8002,6182.0437,6.0749,63.2070,,,,,,,,,,,,,10.4331,2.5498,,,,,,,13.3532,4381.1064
E2_7_007.gcd,4.9755,17622.4467,,,,,5.6996,40.4717,,,,,,,,,,,,,,,,,,,,,,,13.5032,35.4299
E2_8_008.gcd,4.9662,16549.3812,,,,,5.6862,34.5704,,,,,,,,,,,,,,,,,,,,,,,13.5199,29.2996
E3_10_010.gcd,4.9355,13830.2926,,,,,5.7722,4485.4740,6.0902,61.7822,,,,,,,,,,,,,,,,,,,,,13.3619,8684.9925
E3_11_001.gcd,4.9602,16677.4369,,,,,5.6789,22.4319,,,,,,,,,,,,,,,,,,,,,,,13.4712,47.5631
E3_12_002.gcd,4.9502,15101.3260,,,,,5.6696,24.3890,,,,,,,,,,,,,,,,,,,,,,,13.4825,44.8768
E3_9_009.gcd,4.9489,15931.8779,,,,,5.7716,3876.2187,6.1022,53.4804,,,,,,,,,,,,,,,,,,,,,13.3552,7129.6219
E4_13_003.gcd,4.9249,12763.9159,,,5.2302,4.7342,5.7189,2087.3471,6.1369,49.6886,,,,,,,,,,,,,,,,,,,,,13.3599,8295.4816
E4_14_004.gcd,4.9222,12681.9428,,,5.2242,4.4955,5.7209,2201.6049,6.1389,51.2864,,,,,,,,,,,,,,,,,,,,,13.3612,8837.9287
E4_15_005.gcd,4.9669,16954.0890,,,,,5.6882,17.2281,,,,,,,,,,,,,,,,,,,,,,,13.4492,64.9409
E4_16_006.gcd,4.9562,16130.7496,,,,,5.6782,14.1530,,,,,,,,,,,,,,,,,,,,,,,13.4585,56.3236
E5_17_007.gcd,4.9229,12352.1973,,,5.2849,9.8139,5.6736,709.9630,6.1989,23.9490,,,,,,,,,,,,,,,,,,,,,13.3625,11547.3758
E5_18_008.gcd,4.9195,11893.7213,,,5.2855,9.4525,5.6682,667.1427,6.2029,23.6106,,,,,,,,,,,,,,,,,,,,,13.3639,10980.2975
E5_19_009.gcd,4.9749,18691.3636,,,,,5.7009,6.6071,,,,,,,,,,,,,,,,,,,,,,,13.3885,126.8566
E5_20_010.gcd,4.9622,16674.4552,,,,,5.6822,5.7795,,,,,,,,,,,,,,,,,,,,,,,13.4112,98.0244
F1_1 al F5_20.gcd,4.9389,15766.0317,,,,,,,,,6.3456,16.8330,,,,,8.8117,12.7716,9.2577,25.7111,9.5737,4.6084,,,12.7952,1.4397,13.0652,83.9817,13.1999,5.2193,13.3079,1211.2919
F1_1 al F5_21.gcd,5.0042,23826.0933,,,,,,,,,6.3736,20.4965,,,,,8.7670,0.7994,9.2677,39.1493,9.5744,7.7126,,,,,,,,,13.3052,1939.2875
F1_1 al F5_22.gcd,4.9395,14826.9973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5585,19.3346
F1_1 al F5_23.gcd,4.9455,15248.3029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5565,19.3687
F1_1 al F5_24.gcd,4.8795,9378.5749,,,,,,,,,,,,,,,8.8237,13.8458,9.2637,29.5181,9.5770,5.9217,,,,,,,,,13.3312,6088.8212
F1_1 al F5_25.gcd,4.9142,12753.2849,,,,,,,,,,,,,,,8.8190,13.3513,9.2610,28.0850,9.5744,5.6519,,,,,,,,,13.3299,5705.5947
F1_1 al F5_26.gcd,4.9515,17731.7192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4585,52.6402
F1_1 al F5_27.gcd,4.9542,16991.6437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4525,58.0806
F1_1 al F5_28.gcd,4.8955,10812.7862,,,,,,,,,,,,,,,8.7857,9.1193,9.2617,19.4474,9.5770,3.9011,,,,,,,,,13.3405,10104.3426
F1_1 al F5_29.gcd,4.8842,9884.1329,,,,,,,,,,,,,,,8.7950,10.3140,9.2650,21.6557,9.5790,4.3124,,,,,,,,,13.3405,11307.8307
F1_1 al F5_30.gcd,4.9469,15748.8831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4132,88.3030
F1_1 al F5_31.gcd,4.9535,16848.1271,,,,,,,,,,,,,8.2550,1.6072,8.7383,47.6955,,,,,,,,,,,,,13.3639,158.5011
F1_1 al F5_32.gcd,4.8989,11214.7566,,,,,,,,,,,,,,,8.7457,4.6143,9.2644,10.3455,,,,,,,,,,,13.3459,13491.5032
F1_1 al F5_33.gcd,4.9015,11216.0998,,,,,,,,,,,,,,,8.7450,4.4726,9.2664,10.0156,,,,,,,,,,,13.3445,13310.0332
F1_1 al F5_34.gcd,4.9489,15816.9114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4219,82.2696
F1_1 al F5_35.gcd,4.9515,16415.5914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4019,101.5236
F1_1 al F5_36.gcd,4.9042,11537.3128,,,,,,,,,,,,,,,8.3797,1480.4271,9.2664,2.9455,,,,,,,,,,,13.3525,16790.1021
F1_1 al F5_37.gcd,4.8869,10010.5782,,,,,,,,,,,,,,,8.3850,1497.6556,9.2684,2.9916,,,,,,,,,,,13.3499,17182.7083
F1_1 al F5_38.gcd,4.9589,17302.6370,,,,,,,,,,,,,,,8.9657,6.1161,,,,,,,,,,,,,13.3479,204.7072
F1_1 al F5_39.gcd,4.9495,16209.6147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3685,156.9593

median_tR,,4.9462,,5.1222,,5.2309,,5.7102,,6.0962,,6.3596,,7.2743,,8.2550,,8.7763,,9.2647,,9.5757,,10.4437,,12.7952,,13.0215,,13.1999,,13.3705
tR_std,,0.0312,,0.0000,,0.0298,,0.0794,,0.0545,,0.0198,,0.0000,,0.0000,,0.1886,,0.0033,,0.0021,,0.0383,,0.0000,,0.0618,,0.0000,,0.0724
mean_area,,14228.2699,,2.8387,,8.9597,,1642.6945,,48.3056,,18.6648,,30.1202,,1.6072,,3824.1519,,18.9865,,5.3513,,1060.1906,,1.4397,,49.1251,,5.2193,,3971.7768
std_area,,3352.9208,,0.0000,,3.6383,,2701.7291,,13.9583,,2.5905,,0.0000,,0.0000,,4886.5757,,12.1156,,1.3947,,1390.8198,,0.0000,,49.2946,,0.0000,,4929.3333
rsd_pct,,23.57,,0.00,,40.61,,164.47,,28.90,,13.88,,0.00,,0.00,,127.78,,63.81,,26.06,,131.19,,0.00,,100.34,,0.00,,124.11
n_detected,,64,,1,,6,,26,,10,,2,,1,,1,,36,,10,,6,,8,,1,,2,,1,,63
